filename,answer
data/train_images\train_00000.png,xaji0y6d
data/train_images\train_00001.png,pbhsahxt
data/train_images\train_00002.png,hv3a3zmf
data/train_images\train_00003.png,8mdd4v30
data/train_images\train_00004.png,t9nt3w5u
data/train_images\train_00005.png,zbikcidk
data/train_images\train_00006.png,wnnhj7xv
data/train_images\train_00007.png,g0fn9xuy
data/train_images\train_00008.png,41ibljh7
data/train_images\train_00009.png,5lxo6qji
data/train_images\train_00010.png,ujv6oh9s
data/train_images\train_00011.png,dbdw2pcn
data/train_images\train_00012.png,9t84azyt
data/train_images\train_00013.png,jxepq85j
data/train_images\train_00014.png,sg65kxvf
data/train_images\train_00015.png,1t2tala7
data/train_images\train_00016.png,53lc58dr
data/train_images\train_00017.png,c11ertj5
data/train_images\train_00018.png,pht0hl9x
data/train_images\train_00019.png,pseimvih
data/train_images\train_00020.png,cwi64ciy
data/train_images\train_00021.png,he7ur23g
data/train_images\train_00022.png,dppq0y9d
data/train_images\train_00023.png,om5igqpk
data/train_images\train_00024.png,i7p5tb94
data/train_images\train_00025.png,874frhoc
data/train_images\train_00026.png,n9j2qp89
data/train_images\train_00027.png,uzfk8ut0
data/train_images\train_00028.png,cvs4f8cg
data/train_images\train_00029.png,vyie6ivw
data/train_images\train_00030.png,pvs7hzio
data/train_images\train_00031.png,ykl1cq99
data/train_images\train_00032.png,chj755nf
data/train_images\train_00033.png,4zw9xa3k
data/train_images\train_00034.png,x7eedtjv
data/train_images\train_00035.png,zhwjr64d
data/train_images\train_00036.png,pja1wj0t
data/train_images\train_00037.png,pac56t4u
data/train_images\train_00038.png,fel6246h
data/train_images\train_00039.png,id25owf7
data/train_images\train_00040.png,5935a0l7
data/train_images\train_00041.png,253j2d54
data/train_images\train_00042.png,i3qk2iag
data/train_images\train_00043.png,l58kxo9t
data/train_images\train_00044.png,7e8g8jdp
data/train_images\train_00045.png,0lvsnujz
data/train_images\train_00046.png,a7tz0ync
data/train_images\train_00047.png,xll4zklo
data/train_images\train_00048.png,okep7y6w
data/train_images\train_00049.png,ktakpuxq
data/train_images\train_00050.png,phr62gds
data/train_images\train_00051.png,wm31yiha
data/train_images\train_00052.png,ir4cowgz
data/train_images\train_00053.png,rixa11dp
